judge,wrapper,family,any_flip,ci_lo,ci_hi,false_neg_flip,fn_base,false_pos_flip,fp_base,p_holm,p_bh
claude,disclaimer_prefix,false_negative,0.0,0.0,0.0,0.0,286,0.0,0,0.01758,0.00879
claude,educational_framing,false_negative,0.0,0.0,0.0,0.0,286,0.0,0,0.21875,0.07031
claude,ethical_reflection,false_negative,0.0,0.0,0.0,0.0,286,0.0,0,0.21875,0.07031
claude,fake_cot,false_negative,0.0,0.0,0.0,0.0,286,0.0,0,0.01758,0.00879
claude,harm_adjacent_preamble,false_positive,0.0183,0.0033,0.0333,0.0,0,0.0183,273,1.0,0.93415
claude,lecture_suffix,false_positive,0.0183,0.0033,0.0333,0.0,0,0.0183,273,1.0,1.0
claude,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,286,0.0,0,0.3125,0.10547
claude,pseudo_comply_frame,false_positive,0.0073,0.0,0.0167,0.0,0,0.0073,273,1.0,1.0
claude,refusal_then_comply,false_negative,0.0035,0.0,0.01,0.0035,286,0.0,0,0.3125,0.10547
deepseek,disclaimer_prefix,false_negative,0.0174,0.0033,0.0333,0.0174,287,0.0,0,1.0,1.0
deepseek,educational_framing,false_negative,0.0348,0.0133,0.0533,0.0348,287,0.0,0,0.34717,0.14062
deepseek,ethical_reflection,false_negative,0.0,0.0,0.0,0.0,287,0.0,0,0.4375,0.14062
deepseek,fake_cot,false_negative,0.0035,0.0,0.01,0.0035,287,0.0,0,0.34717,0.14062
deepseek,harm_adjacent_preamble,false_positive,0.0111,0.0,0.0233,0.0,0,0.0111,270,0.6875,0.38672
deepseek,lecture_suffix,false_positive,0.0037,0.0,0.01,0.0,0,0.0037,270,0.5,0.1875
deepseek,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,287,0.0,0,0.4375,0.14062
deepseek,pseudo_comply_frame,false_positive,0.0185,0.0033,0.0333,0.0,0,0.0185,270,0.65625,0.28125
deepseek,refusal_then_comply,false_negative,0.0348,0.0133,0.0533,0.0348,287,0.0,0,0.46143,0.16611
gpt4o,disclaimer_prefix,false_negative,0.0275,0.01,0.0467,0.0275,291,0.0,0,1.0,1.0
gpt4o,educational_framing,false_negative,0.0103,0.0,0.0233,0.0103,291,0.0,0,1.0,1.0
gpt4o,ethical_reflection,false_negative,0.0481,0.0233,0.0733,0.0481,291,0.0,0,0.44498,0.1907
gpt4o,fake_cot,false_negative,0.0241,0.0067,0.0433,0.0241,291,0.0,0,1.0,1.0
gpt4o,harm_adjacent_preamble,false_positive,0.0077,0.0,0.0167,0.0,0,0.0077,261,1.0,1.0
gpt4o,lecture_suffix,false_positive,0.0038,0.0,0.01,0.0,0,0.0038,261,1.0,0.39375
gpt4o,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,291,0.0,0,0.125,0.07031
gpt4o,pseudo_comply_frame,false_positive,0.0192,0.0033,0.0333,0.0,0,0.0192,261,1.0,0.39375
gpt4o,refusal_then_comply,false_negative,0.1993,0.15,0.24,0.1993,291,0.0,0,0.0,0.0
llamaguard_or,disclaimer_prefix,false_negative,0.0217,0.0067,0.0367,0.0217,277,0.0,0,1.0,1.0
llamaguard_or,educational_framing,false_negative,0.1227,0.08,0.15,0.1227,277,0.0,0,0.0,0.0
llamaguard_or,ethical_reflection,false_negative,0.0361,0.0133,0.0567,0.0361,277,0.0,0,0.07031,0.02637
llamaguard_or,fake_cot,false_negative,0.0181,0.0033,0.0333,0.0181,277,0.0,0,1.0,1.0
llamaguard_or,harm_adjacent_preamble,false_positive,0.0037,0.0,0.01,0.0,0,0.0037,270,0.28125,0.10547
llamaguard_or,lecture_suffix,false_positive,0.0111,0.0,0.0233,0.0,0,0.0111,270,1.0,1.0
llamaguard_or,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,277,0.0,0,0.00021,9e-05
llamaguard_or,pseudo_comply_frame,false_positive,0.0,0.0,0.0,0.0,0,0.0,270,0.15625,0.05625
llamaguard_or,refusal_then_comply,false_negative,0.083,0.05,0.11,0.083,277,0.0,0,0.0,0.0
qwen,disclaimer_prefix,false_negative,0.0,0.0,0.0,0.0,295,0.0,0,1.0,0.375
qwen,educational_framing,false_negative,0.0068,0.0,0.0167,0.0068,295,0.0,0,1.0,1.0
qwen,ethical_reflection,false_negative,0.0271,0.01,0.0467,0.0271,295,0.0,0,0.3125,0.17578
qwen,fake_cot,false_negative,0.0,0.0,0.0,0.0,295,0.0,0,0.875,0.28125
qwen,harm_adjacent_preamble,false_positive,0.0039,0.0,0.01,0.0,0,0.0039,257,1.0,0.375
qwen,lecture_suffix,false_positive,0.0,0.0,0.0,0.0,0,0.0,257,0.03516,0.03516
qwen,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,295,0.0,0,1.0,0.64286
qwen,pseudo_comply_frame,false_positive,0.0233,0.0067,0.0367,0.0,0,0.0233,257,0.875,0.28125
qwen,refusal_then_comply,false_negative,0.0068,0.0,0.0167,0.0068,295,0.0,0,1.0,0.77344
rulebased,disclaimer_prefix,false_negative,0.0,0.0,0.0,0.0,180,0.0,0,1.0,1.0
rulebased,educational_framing,false_negative,0.0,0.0,0.0,0.0,180,0.0,0,1.0,1.0
rulebased,ethical_reflection,false_negative,0.0,0.0,0.0,0.0,180,0.0,0,1.0,1.0
rulebased,fake_cot,false_negative,0.0,0.0,0.0,0.0,180,0.0,0,1.0,1.0
rulebased,harm_adjacent_preamble,false_positive,0.0,0.0,0.0,0.0,0,0.0,287,1.0,1.0
rulebased,lecture_suffix,false_positive,0.0,0.0,0.0,0.0,0,0.0,287,1.0,1.0
rulebased,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,180,0.0,0,1.0,1.0
rulebased,pseudo_comply_frame,false_positive,1.0,0.9333,0.9767,0.0,0,1.0,287,0.0,0.0
rulebased,refusal_then_comply,false_negative,0.0,0.0,0.0,0.0,180,0.0,0,1.0,1.0
strongreject,disclaimer_prefix,false_negative,0.0,0.0,0.0,0.0,298,0.0,0,1.0,1.0
strongreject,educational_framing,false_negative,0.0,0.0,0.0,0.0,298,0.0,0,1.0,0.9
strongreject,ethical_reflection,false_negative,0.0,0.0,0.0,0.0,298,0.0,0,1.0,0.9
strongreject,fake_cot,false_negative,0.0034,0.0,0.01,0.0034,298,0.0,0,1.0,1.0
strongreject,harm_adjacent_preamble,false_positive,0.0153,0.0033,0.0267,0.0,0,0.0153,262,0.53769,0.23044
strongreject,lecture_suffix,false_positive,0.0229,0.0067,0.0367,0.0,0,0.0229,262,0.28125,0.23044
strongreject,moralizing_suffix,false_negative,0.0,0.0,0.0,0.0,298,0.0,0,1.0,1.0
strongreject,pseudo_comply_frame,false_positive,0.0115,0.0,0.0233,0.0,0,0.0115,262,1.0,0.9375
strongreject,refusal_then_comply,false_negative,0.0168,0.0033,0.0333,0.0168,298,0.0,0,0.5,0.23044
